Project Status,1st Review,2nd Review,Average Score,Initial Review Notes,Project #,Project Combined,Project Title,Need:,Idea:,Coordinates,Location?,Project Type,Dept.,Who Benefits?,Council District ,Neighborhood
Did Not Advance,17,14,15.5,,17-052,,Install LED streetlights around River City Skatepark.,"Bright lights at River City Skatepark. It's dark, scary, and dangerous at night. It is common to find needles, trash, condoms, etc. at this park where kids and teenagers spend their time. There is extra concern for lighting since this skatepark is right next to the 99 onramp.","LED streetlights surrounding the park (on the property, not just the street)","47.52671, -122.32387",River City Skatepark,Lighting,SDOT,"Kids, teenagers, residents",1,South Park
Did Not Advance,10,15,12.5,,17-053,,Complete sidewalk along Dallas Ave S,"Dallas Ave S is denoted as a Primary Improved Walking Route in the South Park Open Space plan. The sidewalk from the renovated South Park bridge has beautiful new sidewalks, however there is about 375' of missing sidewalk starting at 13th Place South on Dallas Ave, heading west (on the north side of the street).",complete the sidewalk. ,"47.527610, -122.315660","Dallas Ave S, starting at 13th Pl S heading west 375' (north side of street)",Walkways,SDOT,pedestrians,1,South Park
Did Not Advance,20,20,20,,17-054,,"Improvements to 5-way 12th Ave S, Dallas Ave S, and Thistle intersection","There is a need for traffic signage at the intersection of 12th Ave S and Dallas S and Thistle. This intersection is a vital throughway for residents, but is also highly trafficked by the commercials vehicles from the nearby industrial businesses. ",Traffic signage. Stop signs. Improved cross walks. Sidewalk repair.,"47.528210, -122.317550","12th Ave S, Dallas Ave S, Thistle S  ",Crossing Improvements,SDOT,Everyone. Residents in the area. People just driving through.,1,South Park
Did Not Advance,20,20,20,,17-055,,"Improvements to 5-way 12th Ave S, Dallas Ave S, and Thistle intersection","The intersection at Dallas Avenue South, 12th Avenue South, and South Thistle Street is a dangerous five way intersection due to the combination of non-yielding and speeding automobiles. As a pedestrian it is very hazardous. This is also a route children walk to get to the bus.","A roundabout would be great, but if not possible- stop signs installed on 12th and Thistle entering the intersection would be an improvement.","47.528210, -122.317550","Dallas Avenue South, 12th Avenue South, and South Thistle Street 5 way intersection.",Crossing Improvements,SDOT,All pedestrians would benefit as well as automobiles. Chances of collisions would be decreased.,1,South Park
Did Not Advance,15,6,10.5,,17-056,,Traffic-calming near 8th & Dallas,Car speed on my road,speed bumps and additional street lights,"47.528210, -122.317550",thistle street between 8th and Dallas,Traffic-Calming,SDOT,we have a lot of kids that live on this street and people fly down the road to avoid the main drag Cloverdale. The streets are not well lit so additional lighting would be great for visibility and speed bumps would slow people down it would be safer.,1,South Park
Did Not Advance,20,20,20,,17-057,,"Stop Sign Installation at 12th, Thistle & Dallas",There is a very dangerous intersection along Dallas Ave S where it meets 12th & Thistle. There are no stop signs from 12th or Thistle to stop cars from going over Dallas. Dallas is a main through fare. ,Stop signs in South Park. They hardly exist and are needed all over. ,"47.528210, -122.317550",Dallas Ave S at Thistle & 12th,Signage,SDOT,Everyone that walks and drives on Dalls,1,South Park 
Did Not Advance,17,2,9.5,,17-059,,Low-cost sidewalk on 24th Ave SW,"No sidewalk on 24th Ave. SW from Thistle to Trenton.  This is a popular route for students from Chief Stealth HS and Denny Middle School.  There are also young children who live on the street,  This is also on the 22 bus route and a common thoroughfare  for cars going to and from Westwood Village.  Currently, the shoulder of the road consist of dirt, mud, gravel, and grass.","Install a low cost sidewalk or asphalt walkway to separate vehicle and pedestrian traffic,","47.528280, -122.363170",24th Ave. SW from Thistle to Trenton,Walkways,SDOT,Students at Chief Stealth HS and Denny Middle School as well as metro riders that do not need to stand in mud while waiting for the bus.  The children who live on the street will be able to travel safely.,1,South Delridge
Did Not Advance,2,3,2.5,,17-060,,Widen pathways in Lincoln Park,Trails in Lincoln Park going to the waterfront are too narrow.  Don't allow groups to go up and down the trail without stopping to let groups pass one another.,Widen the pathways.,"47.528870, -122.394196",Lincoln Park,Walkways,Parks,Park trail users.,1,Fauntleroy
Did Not Advance,6,6,6,,17-062,,Traffic-calming on 10th Ave SW near South Park Senior Center,Area around the South Park Senior Center is unsafe for seniors and pedestrians.,Install speed humps.,"47.529552, -122.320610",Area of South Park Senior Center,Traffic-Calming,SDOT,Seniors and all pedestrians.,1,South Park
Did Not Advance,2,6,4,,17-063,,Trail improvements along north beach path in Lincoln Park,The North path to the beach in Lincoln Park needs to be improved.  Its dangerous.,Needs a geotechnical person to figure it out.,"47.530066, -122.399904",Lincoln Park,Accessibility Improvements,Parks,Everyone using that path.  Regular walkers in Lincoln Park use that trail alot.,1,Fauntleroy
Did Not Advance,15,14,14.5,,17-064,,"Low-cost walkway on 12th Ave S, near S Rose St","This area is part of the ""River Walk"" in the South Park Open Space plan and there is currently no sidewalk at all.",install low-cost sidewalk,"47.530480, -122.317830","12th Ave S, between S Rose St & S Elmgrove St",Walkways,SDOT,pedestrians,1,South Park
Did Not Advance,15,14,14.5,,17-065,,"Low-cost walkway on S. Rose, near 12th Ave S","This area is part of the ""River Walk"" in the South Park Open Space plan. There is only a gravel shoulder for pedestrians to use as a walkway. In actuality it is used as a scarey sidewalk/parking area.",add a low-cost sidewalk,"47.530480, -122.317830","S Rose St, heading East between 12th Ave S & street end",Walkways,SDOT,pedestrians,1,South Park
Did Not Advance,5,4,4.5,,17-450,,Tree-planting @ 45th Ave N. & Meridian,Replace tree at corner of 45th and Meridian Avenue.  The large tree that was there recently was uprooted and the intersection /sidewalks have too few trees there now.  ,Replant a tree at the corner (in front of Murphy's) where a tree was recently uprooted.   ,"47.66138, -122.33372",45th & Meridian Avenue ,Green Infrastructure,SDOT,Everyone who walks along 45th and the local business,4,Wallingford
Did Not Advance,18,15,16.5,,17-066,,Slowdown intersection of Holden & Highland Park Way,"When SW Holden becomes backed up between 16th Ave SW and Highland Parkway, between 7am - 10am & between 4pm - 7pm, drivers cut and speed through 11th Ave SW onto SW Portland St to bypass stop sign at SW Holden & Highland Parkway. Over the couple of years, neighbors have engaged SDOT about the issue including requesting infrastructure improvement/traffic mitigation at the intersection of Highland Parkway and SW Holden, traffic mitigation and traffic signal modernization at 16th Ave SW and SW Holden; posting “slow down” signs; and we have raised the issue with various neighborhood department and SDOT staff. ","Our solution is traffic circle at 11th Ave SW and SW Kenyon, and speed humps on SW Portland Between 11th Ave SW  and Highland Park Way. There is a need for a long term solution for traffic mitigation at SW Holden & Highland Park Way intersection, but until then, putting in traffic circle and speed humps in along these blocks will help increase safety by decreasing overall speed in the neighborhood and will hopefully act as a deterrent for these drivers. This is cost effective and time efficient solution with the resources available.","47.531940, -122.349240",11th Ave SW and SW Kenyon; SW Portland St Between 11th Ave SW  and Highland Park Way,Traffic-Calming,SDOT,"Neighbors who live in the area, children who walk to Highland Park Elementary School, commuters that walk  to the bus stops on 9th Ave SW or 16th Ave SW",1,Highland Park
Did Not Advance,18,18,18,,17-067,,Slowdown intersection of Holden & Highland Park Way,"There are no crosswalks on Highland Parkway/9th Ave SW between SW Holden and SW Cloverdale Street - 4 blocks in total - yet we have 3 bus stops on each side of the street between SW Holden and SW Thistle street and because 9th Ave SW is an arterial street as well as the 131 bus route in 1 of 2 bus routes that serve Highland Park in addition to a number of apartment complexes in the area as well as 7000 residents in Highland Park therefore, transit riders, adults, seniors, & school age youth, are crossing a very busy road during high commute hours and in general the area is less walk-able to the few stores and amenities on 9th Ave SW. ","At minimum at least 1 Flashing Beacon crosswalk located on 9th Ave SW between SW Kenyon and SW Holden as the 2 bus stops near SW Holden and SW Kenyon appear to be the busiest. This will also help to slow down car traffic, which continues to be a significant issue in the area.","47.531960, -122.346790",9th Ave SW between the blocks of SW Holden St and SW Kenyon ,Crossing Improvements,SDOT," 7000 residents in Highland Park especially transit riders, adults, seniors, & school age youth going to work, school, or shopping.",1,Highland Park
Did Not Advance,6,8,7,,17-069,,Litter management @ Longfellow Creek Openspace,Longfellow Creek open space is full of trash and in need of a makeover,"""Installation of waste bins and signage""","47.532401, -122.361994",Longfellow Creek Openspace,Park Equipment,Parks,"park users, pedestrians, residents",1,Riverview
Did Not Advance,18,18,18,,17-070,,Slowdown intersection of Holden & Highland Park Way,"Highland Park Way is awful. First, people routinely speed at VERY high rates up the hill and through the neighborhood. Just last year someone was killed there. Second, people turning onto HP Way from Holden are in serious danger. There have been many accidents at that intersection!","The Holden/Highland Park Way intersection needs some kind of traffic calming. A light, speed bumps, or a roundabout; anything to slow people down and make them more aware.","47.533760, -122.347030","The intersection of Holden and Highland Park Way, at the top of the hill. 47°32'03.7""N+122°20'49.6""W",Traffic-Calming,SDOT,"All the people who live nearby, use that intersection to get to other parts of the city, people who walk near there (there are a couple of bus stops affected by the traffic in that area).",1,Highland Park
